SITENAME,Date,Type,ugP/g,mgC/g,mgN/g
SRS1b,2002-09-01,Aboveground,368,461,7.75
SRS1b,2002-09-01,Aboveground,450,468,7.28
SRS1b,2002-09-01,Aboveground,750,469,8.18
SRS1b,2002-09-01,Belowground,662,472.5,9.21
SRS1b,2002-09-01,Belowground,378,479,6.1
SRS1b,2002-09-01,Belowground,1440,481,7.04
SRS1b,2003-03-01,Aboveground,363,470,9.02
SRS1b,2003-03-01,Aboveground,302,479,6.69
SRS1b,2003-03-01,Aboveground,372,472,9.1
SRS1b,2003-03-01,Belowground,932,475,8.63
SRS1b,2003-03-01,Belowground,889,476,4.29
SRS1b,2003-03-01,Belowground,242,472.5,7.56
SRS1b,2004-03-01,Aboveground,272.56,487.4,7.49
SRS1b,2004-03-01,Aboveground,531.278,477.64,8.31
SRS1b,2004-03-01,Aboveground,330.279,477.38,7.03
SRS1b,2004-03-01,Belowground,359.603,480.16,5.13
SRS1b,2004-03-01,Belowground,521.328,475.52,5.82
SRS1b,2004-03-01,Belowground,315.726,476.58,4.45
SRS1c,2005-04-01,Aboveground,299,489,6.76
SRS1c,2005-04-01,Aboveground,200,486,6.81
SRS1c,2005-04-01,Aboveground,244,481,6.59
SRS1c,2005-04-01,Belowground,932,475,7.56
SRS1c,2005-04-01,Belowground,221,479,6.53
SRS1c,2005-04-01,Belowground,137,462,6.81
SRS1d,2006-03-01,Aboveground,421,488,6.55
SRS1d,2006-03-01,Aboveground,346,490,6.11
SRS1d,2006-03-01,Aboveground,328,487,5.84
SRS1d,2006-03-01,Belowground,749,488,9.15
SRS1d,2006-03-01,Belowground,875,480,11.1
SRS1d,2006-03-01,Belowground,658,484,9.61
SRS1d,2007-03-01,Aboveground,297,481,7.1
SRS1d,2007-03-01,Aboveground,276,489,5.76
SRS1d,2007-03-01,Aboveground,348,476.5,6.1
SRS1d,2007-03-01,Belowground,276,468,6.55
SRS1d,2007-03-01,Belowground,406,472,6.64
SRS1d,2007-03-01,Belowground,336,467,6.82
SRS1d,2008-03-01,Aboveground,277,492,5.76
SRS1d,2008-03-01,Aboveground,263,493,6.22
SRS1d,2008-03-01,Aboveground,280,497,7.71
SRS1d,2008-03-01,Belowground,297,484,7.21
SRS1d,2008-03-01,Belowground,296,490,7.48
SRS1d,2008-03-01,Belowground,230,491,8.07
SRS1d,2009-03-01,Aboveground,263,493,8
SRS1d,2009-03-01,Aboveground,162,498,5.09
SRS1d,2009-03-01,Aboveground,314,489,7.8
SRS1d,2009-03-01,Belowground,239,475,7.54
SRS1d,2009-03-01,Belowground,163,491,5.62
SRS1d,2009-03-01,Belowground,285,491,5.36
SRS1d,2010-03-01,Aboveground,378.542,409.9,7.3
SRS1d,2010-03-01,Aboveground,289.629,407.5,5.6
SRS1d,2010-03-01,Aboveground,221.045,434.2,5.3
SRS1d,2010-03-01,Belowground,537.409,413.2,8.6
SRS1d,2010-03-01,Belowground,1005.058,409.2,11.1
SRS1d,2010-03-01,Belowground,140.576,475.4,4.7
SRS1d,2011-03-01,Aboveground,189.561,500.43,5.45
SRS1d,2011-03-01,Aboveground,188.806,435.56,6.32
SRS1d,2011-03-01,Aboveground,271.776,418.23,6.48
SRS1d,2011-03-01,Belowground,146.569,416.55,5.5
SRS1d,2011-03-01,Belowground,326.983,427.92,6.3
SRS1d,2011-03-01,Belowground,208.428,419.32,8.11
SRS1d,2012-03-01,Aboveground,166.283,451.14,5.67
SRS1d,2012-03-01,Aboveground,213.573,500.17,4.01
SRS1d,2012-03-01,Aboveground,144.02,438.93,4.36
SRS1d,2012-03-01,Belowground,256.318,397.84,3.89
SRS1d,2012-03-01,Belowground,182.599,440.72,2.29
SRS1d,2012-03-01,Belowground,106.805,488.38,2.93
SRS1d,2013-03-01,Aboveground,230.329,485.18,5.41
SRS1d,2013-03-01,Aboveground,238.732,485.16,5.27
SRS1d,2013-03-01,Aboveground,198.065,486.18,4.9
SRS1d,2013-03-01,Belowground,447.936,461.3,8.39
SRS1d,2013-03-01,Belowground,155.682,455.24,6.29
SRS1d,2013-03-01,Belowground,253.13,469.62,7.73
SRS1d,2014-03-01,Aboveground,188.673,474.38,6.3
SRS1d,2014-03-01,Aboveground,233.449,474.13,6.49
SRS1d,2014-03-01,Aboveground,214.382,476.21,7.07
SRS1d,2014-03-01,Belowground,244.603,468.22,5.34
SRS1d,2014-03-01,Belowground,496.388,467.67,9.09
SRS1d,2014-03-01,Belowground,504.337,451.42,8.46
SRS1d,2015-03-01,Aboveground,179.048,476.27,5.39
SRS1d,2015-03-01,Aboveground,233.258,480.48,6.37
SRS1d,2015-03-01,Aboveground,159.423,447.22,6.02
SRS1d,2015-03-01,Belowground,287.93,464.61,6.19
SRS1d,2015-03-01,Belowground,317.215,469.98,7.82
SRS1d,2015-03-01,Belowground,171.737,470.45,5.37
SRS1d,2016-03-01,Aboveground,257.388,472.46,6.41
SRS1d,2016-03-01,Aboveground,184.123,484.4,5.07
SRS1d,2016-03-01,Aboveground,320.444,471.95,7.2
SRS1d,2016-03-01,Belowground,688.289,447.73,7.72
SRS1d,2016-03-01,Belowground,257.578,455.33,7.8
SRS1d,2016-03-01,Belowground,271.031,460.97,6.18
SRS1d,2017-03-01,Aboveground,204.308,484.47,5.49
SRS1d,2017-03-01,Aboveground,227.156,483.52,5.72
SRS1d,2017-03-01,Aboveground,283.33,483.33,6.09
SRS1d,2017-03-01,Belowground,558.932,470.68,8.82
SRS1d,2017-03-01,Belowground,325.325,478.81,12.19
SRS1d,2017-03-01,Belowground,203.359,472.22,5.89
SRS1d,2018-03-01,Aboveground,360.74,475.89,4.87
SRS1d,2018-03-01,Aboveground,212.88,424.59,4.2
SRS1d,2018-03-01,Aboveground,231.93,449.14,4.21
SRS1d,2018-03-01,Belowground,320.7,439.07,6.05
SRS1d,2018-03-01,Belowground,480.56,371.2,8.39
SRS1d,2018-03-01,Belowground,322.4,395.16,6.86
SRS1d,2019-03-01,Aboveground,220.39,485.99,6.08
SRS1d,2019-03-01,Aboveground,246.33,490.71,5.94
SRS1d,2019-03-01,Aboveground,211.26,488.41,5.79
SRS1d,2019-03-01,Belowground,190.3,484.76,5.8
SRS1d,2019-03-01,Belowground,171.81,481.71,8.98
SRS1d,2019-03-01,Belowground,258.21,479.53,6.98
SRS1d,2020-03-01,Aboveground,172.691,486.63,4.97
SRS1d,2020-03-01,Aboveground,167.989,492.01,5.04
SRS1d,2020-03-01,Aboveground,155.554,496.11,4.89
SRS1d,2020-03-01,Belowground,375.045,473.54,6.54
SRS1d,2020-03-01,Belowground,290.053,475.4,5.36
SRS1d,2020-03-01,Belowground,310.021,479.5,5.33
SRS1d,2021-03-01,Aboveground,151.776,429.6,4.3
SRS1d,2021-03-01,Aboveground,161.759,454.2,4.6
SRS1d,2021-03-01,Aboveground,179.14,474.1,4.6
SRS1d,2021-03-01,Belowground,80.709,449.1,5.6
SRS1d,2021-03-01,Belowground,358.948,455.4,7.4
SRS1d,2021-03-01,Belowground,466.14,463.9,7.8
SRS1d,2022-03-01,Aboveground,235.395,493.8,5.8
SRS1d,2022-03-01,Aboveground,196.26,494.9,5.45
SRS1d,2022-03-01,Aboveground,199.773,492.9,5.8
SRS1d,2022-03-01,Belowground,138.139,475.7,7.5
SRS1d,2022-03-01,Belowground,110.029,476.65,7.75
SRS1d,2022-03-01,Belowground,215.305,476.1,8.3
SRS1d,2023-03-01,Aboveground,149.597,480.8,4
SRS1d,2023-03-01,Aboveground,301.029,468.2,6.8
SRS1d,2023-03-01,Aboveground,202.5,469.5,5.4
SRS1d,2023-03-01,Belowground,141.743,453.3,5.9
SRS1d,2023-03-01,Belowground,178.457,456.4,6.4
SRS1d,2023-03-01,Belowground,333.238,443,5.7
SRS2,2002-09-01,Aboveground,280,472,6.19
SRS2,2002-09-01,Aboveground,292,474,7
SRS2,2002-09-01,Aboveground,234,479,6.14
SRS2,2002-09-01,Belowground,1300,465,12.1
SRS2,2002-09-01,Belowground,234,472,6.22
SRS2,2002-09-01,Belowground,164,479,6.3
SRS2,2003-03-01,Aboveground,326,476,11.1
SRS2,2003-03-01,Aboveground,242,477,8.23
SRS2,2003-03-01,Aboveground,224,485,8.42
SRS2,2003-03-01,Belowground,110,474,8.65
SRS2,2003-03-01,Belowground,180,476,6.5
SRS2,2003-03-01,Belowground,146,475,6.75
SRS2,2004-03-01,Aboveground,416.07,472.51,8.38
SRS2,2004-03-01,Aboveground,194.869,485.02,7.27
SRS2,2004-03-01,Aboveground,236.35,487.83,7.61
SRS2,2004-03-01,Belowground,214.208,475.98,9.14
SRS2,2004-03-01,Belowground,410.981,474.76,7.34
SRS2,2004-03-01,Belowground,301.206,475.15,8.14
SRS2,2005-04-01,Aboveground,185,487,6.51
SRS2,2005-04-01,Aboveground,172,488,5.92
SRS2,2005-04-01,Aboveground,188,489,5.91
SRS2,2005-04-01,Belowground,193,481,13.9
SRS2,2005-04-01,Belowground,143,486,9.39
SRS2,2005-04-01,Belowground,232,479,7.84
SRS2,2006-03-01,Aboveground,354,486,8.91
SRS2,2006-03-01,Aboveground,203,496,6.81
SRS2,2006-03-01,Aboveground,234,496,6.84
SRS2,2006-03-01,Belowground,388,480,6.39
SRS2,2006-03-01,Belowground,128,482,8.1
SRS2,2006-03-01,Belowground,195,487,6.63
SRS2,2007-03-01,Aboveground,218,484,7.23
SRS2,2007-03-01,Aboveground,140,480,5.88
SRS2,2007-03-01,Aboveground,160,484,5.76
SRS2,2007-03-01,Belowground,209,471,6.65
SRS2,2007-03-01,Belowground,236,471,7.18
SRS2,2007-03-01,Belowground,150,474,6.54
SRS2,2008-03-01,Aboveground,282,503,7.81
SRS2,2008-03-01,Aboveground,247,508,8.63
SRS2,2008-03-01,Aboveground,227,493,6.3
SRS2,2008-03-01,Belowground,151,487,6.4
SRS2,2008-03-01,Belowground,189,489,8.91
SRS2,2008-03-01,Belowground,212.5,491,8.53
SRS2,2009-03-01,Aboveground,235,490,5.89
SRS2,2009-03-01,Aboveground,139,488,3.91
SRS2,2009-03-01,Aboveground,224,494,5.99
SRS2,2009-03-01,Belowground,139,481,5.67
SRS2,2009-03-01,Belowground,104,494,5.17
SRS2,2009-03-01,Belowground,361,477,7.62
SRS2,2010-03-01,Aboveground,184.446,405,4.7
SRS2,2010-03-01,Aboveground,200.529,465.9,5.7
SRS2,2010-03-01,Aboveground,332.751,413.1,4.6
SRS2,2010-03-01,Belowground,214.096,415.7,3.7
SRS2,2010-03-01,Belowground,233.763,378.4,6
SRS2,2010-03-01,Belowground,137.533,476.8,5.7
SRS2,2011-03-01,Aboveground,206.066,444.3,6.01
SRS2,2011-03-01,Aboveground,227.165,433.85,6.57
SRS2,2011-03-01,Aboveground,228.026,462.75,5.11
SRS2,2011-03-01,Belowground,125.57,428.88,4.92
SRS2,2011-03-01,Belowground,853.387,421.24,9.97
SRS2,2011-03-01,Belowground,383.478,428.57,5.44
SRS2,2012-03-01,Aboveground,156.602,469.8,5.04
SRS2,2012-03-01,Aboveground,132.811,448.73,3.59
SRS2,2012-03-01,Aboveground,192.324,410.87,4.94
SRS2,2012-03-01,Belowground,272.523,452.88,5.51
SRS2,2012-03-01,Belowground,282.375,408.08,5.75
SRS2,2012-03-01,Belowground,102.447,424.8,9.29
SRS2,2013-03-01,Aboveground,209.88,484.49,5.03
SRS2,2013-03-01,Aboveground,333.697,474.4,6.83
SRS2,2013-03-01,Aboveground,207.907,478.63,5.4
SRS2,2013-03-01,Belowground,487.495,468.27,13.7
SRS2,2013-03-01,Belowground,228.391,465.13,7.05
SRS2,2013-03-01,Belowground,159.195,462.97,12.64
SRS2,2014-03-01,Aboveground,393.73,473.46,7.25
SRS2,2014-03-01,Aboveground,373.513,475.87,7.47
SRS2,2014-03-01,Aboveground,314.743,479.14,7.99
SRS2,2014-03-01,Belowground,1625.86,451.12,15.41
SRS2,2014-03-01,Belowground,1515.647,445.35,14.2
SRS2,2014-03-01,Belowground,972.991,444.82,12.63
SRS2,2015-03-01,Aboveground,185.242,488.96,5.9
SRS2,2015-03-01,Aboveground,285.385,480.57,7.22
SRS2,2015-03-01,Aboveground,273.198,476.59,6.79
SRS2,2015-03-01,Belowground,565.482,457.8,9.15
SRS2,2015-03-01,Belowground,199.961,471.3,11.42
SRS2,2015-03-01,Belowground,242.096,467.76,8.01
SRS2,2016-03-01,Aboveground,188.503,478.49,4.7
SRS2,2016-03-01,Aboveground,218.676,475.43,5.47
SRS2,2016-03-01,Aboveground,195.276,487.05,4.69
SRS2,2016-03-01,Belowground,243.133,466.59,6.21
SRS2,2016-03-01,Belowground,132.147,463.1,5.3
SRS2,2016-03-01,Belowground,205.062,468.32,6.24
SRS2,2017-03-01,Aboveground,214.479,480.17,5.86
SRS2,2017-03-01,Aboveground,182.04,485.12,4.86
SRS2,2017-03-01,Aboveground,248.705,483.66,5.27
SRS2,2017-03-01,Belowground,178.266,477.58,7.79
SRS2,2017-03-01,Belowground,331.438,465.43,11.93
SRS2,2017-03-01,Belowground,384.33,475.4,10.65
SRS2,2018-03-01,Aboveground,333.87,483.19,6.02
SRS2,2018-03-01,Aboveground,290.28,464.08,4.94
SRS2,2018-03-01,Aboveground,317.45,447.54,5.38
SRS2,2018-03-01,Belowground,686.67,393.52,7.74
SRS2,2018-03-01,Belowground,326.38,420.96,6.58
SRS2,2018-03-01,Belowground,558.41,395.14,6.67
SRS2,2019-03-01,Aboveground,329.01,485.68,7.81
SRS2,2019-03-01,Aboveground,328.27,479.91,7.99
SRS2,2019-03-01,Aboveground,321.63,479.91,6.28
SRS2,2019-03-01,Belowground,597.31,471.6,9.53
SRS2,2019-03-01,Belowground,714.82,467.08,13.17
SRS2,2019-03-01,Belowground,344.52,479.37,8.36
SRS2,2020-03-01,Aboveground,187.776,487.8,6.06
SRS2,2020-03-01,Aboveground,320.461,487.35,7.16
SRS2,2020-03-01,Aboveground,256.647,490.9,6.79
SRS2,2020-03-01,Belowground,294.553,470.11,6.54
SRS2,2020-03-01,Belowground,167.103,484.27,6.84
SRS2,2020-03-01,Belowground,419.706,460.47,7.17
SRS2,2021-03-01,Aboveground,284.722,461.4,6.1
SRS2,2021-03-01,Aboveground,234.516,470.3,6.9
SRS2,2021-03-01,Aboveground,202.715,473.5,6.6
SRS2,2021-03-01,Belowground,1349.437,413.1,10.7
SRS2,2021-03-01,Belowground,154.349,475.4,6.6
SRS2,2021-03-01,Belowground,243.203,435.5,6.5
SRS2,2022-03-01,Aboveground,120.764,498.8,4.7
SRS2,2022-03-01,Aboveground,184.379,495.6,5.9
SRS2,2022-03-01,Aboveground,181.906,496.8,5.9
SRS2,2022-03-01,Belowground,308.983,477.3,7.3
SRS2,2022-03-01,Belowground,420.962,473.6,8.5
SRS2,2022-03-01,Belowground,224.531,483,8.7
SRS2,2023-03-01,Aboveground,281.675,472,6.8
SRS2,2023-03-01,Aboveground,261.601,472.2,6.4
SRS2,2023-03-01,Aboveground,240.115,468.2,5.7
SRS2,2023-03-01,Belowground,1349.063,433.4,13.2
SRS2,2023-03-01,Belowground,457.912,453,11.5
SRS2,2023-03-01,Belowground,388.847,449.1,7.5
SRS3,2002-09-01,Aboveground,296,476,7.8
SRS3,2002-09-01,Aboveground,266,475,6.93
SRS3,2002-09-01,Aboveground,302,477,7.76
SRS3,2002-09-01,Belowground,1020,504,9.92
SRS3,2002-09-01,Belowground,170,483,7.25
SRS3,2002-09-01,Belowground,210,475,8.16
SRS3,2003-03-01,Aboveground,270,482,8.72
SRS3,2003-03-01,Aboveground,356,478,9.32
SRS3,2003-03-01,Aboveground,252,477,9.52
SRS3,2003-03-01,Belowground,144,484,5.12
SRS3,2003-03-01,Belowground,244,475,6.44
SRS3,2003-03-01,Belowground,114,477,6.92
SRS3,2004-03-01,Aboveground,249.175,486.3,7.53
SRS3,2004-03-01,Aboveground,316.027,482.23,9.54
SRS3,2004-03-01,Aboveground,395.668,487.21,7.83
SRS3,2004-03-01,Belowground,206.164,481.23,6.78
SRS3,2004-03-01,Belowground,298.895,477,5.46
SRS3,2004-03-01,Belowground,1535.628,477.67,7.06
SRS3,2005-04-01,Aboveground,178,488,7.08
SRS3,2005-04-01,Aboveground,238,491,7.65
SRS3,2005-04-01,Aboveground,223,491,7.04
SRS3,2005-04-01,Belowground,121,485,6.94
SRS3,2005-04-01,Belowground,253,485,8.08
SRS3,2005-04-01,Belowground,260,485,8.75
SRS3,2006-03-01,Aboveground,333,488,8.13
SRS3,2006-03-01,Aboveground,333,483,7.63
SRS3,2006-03-01,Aboveground,205,493,6.23
SRS3,2006-03-01,Belowground,410,491,10.8
SRS3,2006-03-01,Belowground,703,481,12.1
SRS3,2006-03-01,Belowground,500,486,9.11
SRS3,2007-03-01,Aboveground,190,486,6.94
SRS3,2007-03-01,Aboveground,236,478,8.85
SRS3,2007-03-01,Aboveground,300,470,10.2
SRS3,2007-03-01,Belowground,140,470,8.04
SRS3,2007-03-01,Belowground,180,458,11.2
SRS3,2007-03-01,Belowground,233,466,8.3
SRS3,2008-03-01,Aboveground,252,475,7.18
SRS3,2008-03-01,Aboveground,247,488.5,8.6
SRS3,2008-03-01,Aboveground,235,482,6.26
SRS3,2008-03-01,Belowground,131,489,5.72
SRS3,2008-03-01,Belowground,129,495,5.04
SRS3,2008-03-01,Belowground,134,490,5.78
SRS3,2009-03-01,Aboveground,175,493,6.22
SRS3,2009-03-01,Aboveground,181,495,6.01
SRS3,2009-03-01,Aboveground,265,484,8.49
SRS3,2009-03-01,Belowground,273,489,6.31
SRS3,2009-03-01,Belowground,151,495,6.07
SRS3,2009-03-01,Belowground,296,485,6.76
SRS3,2010-03-01,Aboveground,360.252,416.9,8.2
SRS3,2010-03-01,Aboveground,301.004,418.7,5.8
SRS3,2010-03-01,Aboveground,242.427,433.9,6.5
SRS3,2010-03-01,Belowground,673.181,384.5,12.2
SRS3,2010-03-01,Belowground,249.628,489.9,6.1
SRS3,2010-03-01,Belowground,262.745,387.9,8.6
SRS3,2011-03-01,Aboveground,220.61,411.01,5.72
SRS3,2011-03-01,Aboveground,259.679,419.55,6.92
SRS3,2011-03-01,Aboveground,329.447,414.33,7.8
SRS3,2011-03-01,Belowground,382.862,373.37,6.59
SRS3,2011-03-01,Belowground,148.601,407.75,5.27
SRS3,2011-03-01,Belowground,199.77,418.19,4.34
SRS3,2012-03-01,Aboveground,225.791,444.23,5.54
SRS3,2012-03-01,Aboveground,234.801,425.61,5.03
SRS3,2012-03-01,Aboveground,324.394,444.22,6.57
SRS3,2012-03-01,Belowground,562.504,402.86,6.71
SRS3,2012-03-01,Belowground,227.987,438.51,5.11
SRS3,2012-03-01,Belowground,530.11,417.39,7.59
SRS3,2013-03-01,Aboveground,435.618,476.39,7.37
SRS3,2013-03-01,Aboveground,424.677,465.81,6.94
SRS3,2013-03-01,Aboveground,488.424,479.65,7.46
SRS3,2013-03-01,Belowground,601.764,464.23,12.82
SRS3,2013-03-01,Belowground,713.317,445.73,12.39
SRS3,2013-03-01,Belowground,1762.762,466.36,11.98
SRS3,2014-03-01,Aboveground,510.965,478.38,8.44
SRS3,2014-03-01,Aboveground,380.577,468.4,8.01
SRS3,2014-03-01,Aboveground,575.288,464.9,7.9
